"Days","Visits","ExtrCharges","Tips","USD","hclust","kmeans"
11,4,202,204,23624,1,2
18,2,160,139,11144,2,3
20,2,137,117,10614,2,3
14,4,270,208,24190,1,2
15,4,212,173,16490,1,2
17,2,190,153,13354,2,3
15,4,212,173,16094,1,2
12,6,312,198,31945,3,1
11,4,216,187,27797,1,2
17,2,221,193,15471,1,3
12,2,195,231,21887,1,2
19,2,153,133,10364,2,3
19,2,160,133,11895,2,3
14,4,270,208,20720,1,2
15,2,192,133,13973,1,3
11,6,344,263,16830,3,1
14,4,271,183,29663,1,2
12,6,312,198,36425,3,1
10,4,301,198,16949,1,2
17,2,174,136,11326,2,3
15,4,212,173,16934,1,2
17,2,174,136,14226,2,3
18,2,160,133,12670,2,3
14,4,270,208,28895,1,2
21,2,120,106,9811,2,3
11,6,344,213,19030,3,1
14,4,270,208,18925,1,2
15,2,171,146,13090,2,3
10,6,357,183,20540,3,1
17,2,190,153,15551,2,3
13,2,161,139,15522,1,3
11,6,346,183,22055,3,1
13,2,192,143,14072,1,3
10,6,312,243,59378,3,1
12,6,389,288,33740,3,1
11,6,346,183,27894,3,1
11,6,341,268,29413,3,1
17,2,178,136,13926,2,3
16,2,220,184,14490,1,3
11,2,160,168,20235,1,2
12,2,160,168,27335,1,2
13,2,155,153,17345,1,3
16,2,148,143,12610,2,3
17,2,148,124,9835,2,3
14,4,179,157,22750,1,2
12,2,179,157,20015,1,2
9,4,220,220,53595,3,1
11,4,191,211,28290,1,2
11,3,180,173,30225,1,2
7,4,248,251,56195,3,1
16,2,160,151,21880,2,3
13,4,198,231,41395,1,2
12,4,198,201,34695,1,2
25,1,112,109,7861,2,3
13,2,185,183,16154,1,2
13,4,220,208,25244,1,2
18,2,136,158,16743,2,3
19,2,136,133,11863,2,3
12,4,219,233,23693,1,2
17,2,148,140,16026,2,3
18,4,161,158,14353,1,3
20,2,161,158,14673,2,3
11,4,219,243,25305,1,2
21,2,128,121,11203,2,3
20,2,118,107,6544,2,3
18,2,136,125,11194,2,3
11,4,119,189,19015,1,2
14,2,158,147,16865,1,3
16,2,161,145,14014,2,3
14,2,176,153,17064,1,3
18,2,136,161,14865,2,3
12,4,219,201,24115,1,2
23,2,129,113,10624,2,3
10,2,185,149,17939,1,2
19,2,136,133,11614,2,3
15,2,159,140,14794,2,3
10,2,182,150,17124,1,2
11,4,220,185,19264,1,2
13,4,220,203,21094,1,2
17,2,136,133,14464,2,3
19,2,129,124,11524,2,3
17,2,148,133,14276,2,3
